fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
A0A,Southeastern Avalon Peninsula (Ferryland),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0B,Western Avalon Peninsula (Argentia),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0C,Bonavista Peninsula (Bonavista),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0E,Burin Peninsula (Marystown),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0G,Northeast Newfoundland (Lewisporte),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0H,Central Newfoundland (Bishops Falls),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0J,Northern Newfoundland (Springdale),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0K,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0L,Western Newfoundland (Lark Harbour),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0M,Southwestern Newfoundland (Channel-Port aux Basques),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0N,Port au Port Peninsula region (St. George's),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0P,Central Labrador (Happy Valley-Goose Bay),Hopedale,876.7,823.5,2208.6,873.3,859.3,26.0,24.0,65.0,26.0,25.0,230.0,220.0,590.0,230.0,230.0,930.0,880.0,2300.0,930.0,910.0
A0R,North/Western Labrador (Churchill Falls),Sept-Îles,934.6,971.1,1853.4,788.1,860.2,27.0,29.0,54.0,23.0,25.0,250.0,260.0,490.0,210.0,230.0,990.0,1000.0,2000.0,840.0,910.0
A1A,St. John's North,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1C,St. John's North Central,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1E,St. John's Central,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1G,St. John's South,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1H,St. John's Southwest,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1K,Torbay,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1L,Paradise,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1M,Portugal Cove-St. Philips,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1N,Mount Pearl,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1S,Goulds,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1V,Gander,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1W,Manuels,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1X,Conception Bay,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1Y,Carbonear,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A2A,Grand Falls,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2B,Windsor,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2H,Corner Brook,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2N,Stephenville,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2V,Labrador City,Sept-Îles,934.6,971.1,1853.4,788.1,860.2,27.0,29.0,54.0,23.0,25.0,250.0,260.0,490.0,210.0,230.0,990.0,1000.0,2000.0,840.0,910.0
A5A,Clarenville,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A8A,Deer Lake,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
B0C,North Victoria County (Dingwall),Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B0E,West Cape Breton Island (Baddeck),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0H,Canso region (Havre Boucher),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0J,Mainland east shore (Lunenburg),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0K,Southern Northumberland Strait (Pictou),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0L,Isthmus of Chignecto (River Hébert),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0M,Cobequid Bay north shore (Springhill),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0N,Hants County (Shubenacadie),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0P,Kings County (Kingston),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0R,West Lunenburg County (New Germany),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0S,West Annapolis County (Middleton),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0T,Queens County (Shelburne),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0V,Digby Neck (Digby),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0W,Southwest Mainland (Weymouth),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B1A,Glace Bay,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1B,Port Morien,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1C,Louisbourg,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1E,Reserve Mines,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1G,Dominion,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1H,New Waterford,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1J,East Bay,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1K,Marion Bridge,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1L,Sydney Southwest,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1M,Sydney East,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1N,Sydney North,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1P,Sydney North Central,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1R,Sydney West,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1S,Sydney Central,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1T,Christmas Island,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B1V,North Sydney North,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1W,Eskasoni,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1X,Big Bras d'Or,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1Y,Alder Point,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B2A,North Sydney South Central,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B2C,Iona,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2E,Loch Lomond,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2G,Antigonish,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2H,New Glasgow,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2J,Fourchu,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B2N,Truro,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2R,Waverley,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2S,Lantz,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2T,Enfield,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2V,Dartmouth Morris Lake,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2W,Dartmouth East Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2X,Dartmouth North Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2Y,Dartmouth South Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B2Z,Dartmouth East,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3A,Dartmouth Southwest,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3B,Dartmouth Northwest,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3E,Porters Lake,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3G,Eastern Passage,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3H,Halifax Lower Harbour,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3J,Halifax Mid-Harbour Nova Scotia Provincial Government,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3K,Halifax Upper Harbour,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3L,Halifax Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3M,Halifax Bedford Basin,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3N,Halifax South Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3P,Halifax North West Arm,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3R,Halifax South,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3S,Halifax West,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3T,Lakeside,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3V,Harrietsfield,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B3Z,Tantallon,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4A,Bedford Southeast,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4B,Bedford Northwest,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4C,Lower Sackville South,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4E,Lower Sackville West,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4G,Lower Sackville North,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4H,Amherst,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4N,Kentville,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4P,Wolfville,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4R,Coldbrook,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B4V,Bridgewater,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B5A,Yarmouth,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B6L,Truro,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B9A,Port Hawkesbury,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C0A,Kings and Queens counties (Elmira),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C0B,Prince County (Portage),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C1A,Charlottetown Southeast Prince Edward Island Provincial Government,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C1B,Stratford,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C1C,Charlottetown North,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C1E,Charlottetown West,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
C1N,Summerside,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1A,Dieppe Moncton East,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1B,Riverview,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1C,Moncton Central,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1E,Moncton West,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1G,Moncton Northwest,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1H,"Lakeville, Shediac Bridge",Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1J,Coverdale,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E1N,Miramichi South,Moncton,958.3,923.7,2183.5,837.6,1118.2,28.0,27.0,64.0,25.0,33.0,250.0,250.0,580.0,220.0,300.0,1000.0,980.0,2300.0,890.0,1200.0
E1V,Miramichi North,Moncton,958.3,923.7,2183.5,837.6,1118.2,28.0,27.0,64.0,25.0,33.0,250.0,250.0,580.0,220.0,300.0,1000.0,980.0,2300.0,890.0,1200.0
E1W,Caraquet,Moncton,958.3,923.7,2183.5,837.6,1118.2,28.0,27.0,64.0,25.0,33.0,250.0,250.0,580.0,220.0,300.0,1000.0,980.0,2300.0,890.0,1200.0
E1X,Tracadie-Sheila,Moncton,958.3,923.7,2183.5,837.6,1118.2,28.0,27.0,64.0,25.0,33.0,250.0,250.0,580.0,220.0,300.0,1000.0,980.0,2300.0,890.0,1200.0
E2A,Bathurst,Moncton,958.3,923.7,2183.5,837.6,1118.2,28.0,27.0,64.0,25.0,33.0,250.0,250.0,580.0,220.0,300.0,1000.0,980.0,2300.0,890.0,1200.0
E2E,"Rothesay, Quispamsis",Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
E2G,Quispamsis,Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
