fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T3E,Calgary (Lakeview / Glendale / Killarney / Glamorgan),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3G,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3H,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3J,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3K,Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3L,Calgary (Tuscany / Scenic Acres),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3M,Calgary (Cranston),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3N,Calgary Northeast,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3P,Calgary (Symons Valley),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3R,Calgary Northwest,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
