fsa,name_/_area,rovince_/_territory,lat,lon,nearest_major_airport,airport_iata,airport_sl_km,"dist_set_a_km
(yvr+sfo)","dist_set_b_km
(yyz+jfk)",further_set,d1_name,d1_sl_km,d1_driving_km,d1_driving_hrs,d2_name,d2_sl_km,d2_driving_km,d2_driving_hrs,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,"set_airport_1
(iata)",co2e_set1_kg,co2e_set2_kg
L3X,Newmarket Southwest,Ontario,44.0433,-79.4912,Toronto Pearson Intl,YYZ,42.0,3486.7,322.4,A,Niagara Falls ON,111.0,171.6,2.1674,Montreal QC,494.8,571.88,7.0401,1204.7,1260.4,1892.0,YVR,703.9,740.7
L3Y,Newmarket Northeast,Ontario,44.0565,-79.4555,Toronto Pearson Intl,YYZ,44.3,3489.1,322.8,A,Niagara Falls ON,111.6,174.47,2.237,Montreal QC,491.6,569.71,6.9672,1204.7,1260.4,1892.0,YVR,703.9,740.7
L3Z,Bradford,Ontario,44.1168,-79.5663,Toronto Pearson Intl,YYZ,49.1,3479.0,330.7,A,Niagara Falls ON,120.6,176.54,2.2423,Montreal QC,497.5,582.66,7.1823,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4A,Stouffville,Ontario,43.9668,-79.2496,Toronto Pearson Intl,YYZ,44.0,3507.2,313.1,A,Niagara Falls ON,98.4,173.14,2.2409,Sault Ste. Marie ON,489.9,686.44,9.6662,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4B,Richmond Hill Southeast,Ontario,43.8582,-79.3985,Toronto Pearson Intl,YYZ,27.1,3498.9,305.8,A,Niagara Falls ON,89.1,150.46,1.9032,Montreal QC,495.8,545.52,6.6696,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4C,Richmond Hill Southwest,Ontario,43.8669,-79.4414,Toronto Pearson Intl,YYZ,25.7,3495.4,306.8,A,Niagara Falls ON,91.1,149.4,1.8862,Montreal QC,498.6,550.67,6.7419,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4E,Richmond Hill North,Ontario,43.9394,-79.4349,Toronto Pearson Intl,YYZ,32.8,3493.9,312.5,A,Niagara Falls ON,98.6,159.14,2.0818,Montreal QC,494.9,556.56,6.8057,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4G,Aurora,Ontario,44.0001,-79.4663,Toronto Pearson Intl,YYZ,38.0,3489.8,318.1,A,Niagara Falls ON,105.8,165.73,2.1575,Montreal QC,494.7,565.11,6.9104,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4H,Woodbridge North,Ontario,43.8432,-79.5644,Toronto Pearson Intl,YYZ,19.0,3486.7,306.7,A,Niagara Falls ON,92.3,142.38,1.7813,Sault Ste. Marie ON,478.8,666.87,9.2299,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4J,Thornhill West,Ontario,43.8156,-79.4534,Toronto Pearson Intl,YYZ,20.6,3496.0,303.0,A,Niagara Falls ON,86.0,144.76,1.8142,Sault Ste. Marie ON,487.6,682.27,9.4322,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4K,Concord,Ontario,43.8001,-79.4829,Toronto Pearson Intl,YYZ,17.8,3494.2,302.0,A,Niagara Falls ON,85.3,143.8,1.7768,Sault Ste. Marie ON,486.9,681.3,9.3949,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4L,Woodbridge South,Ontario,43.8064,-79.5995,Toronto Pearson Intl,YYZ,14.5,3485.1,304.4,A,Niagara Falls ON,89.9,141.44,1.7812,Sault Ste. Marie ON,479.4,674.12,9.3725,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4M,Barrie North,Ontario,44.4001,-79.6663,Toronto Pearson Intl,YYZ,80.4,3463.8,359.2,A,Niagara Falls ON,153.0,207.47,2.6254,Montreal QC,495.2,628.59,7.7224,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4N,Barrie South,Ontario,44.3572,-79.6929,Toronto Pearson Intl,YYZ,75.8,3462.9,356.3,A,Niagara Falls ON,149.2,200.82,2.4986,Montreal QC,498.6,621.94,7.5956,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4P,Keswick,Ontario,44.2501,-79.4663,Toronto Pearson Intl,YYZ,64.9,3483.0,340.1,A,Niagara Falls ON,132.6,198.87,2.4913,Timmins ON,490.7,648.55,9.4787,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4R,Midland,Ontario,44.7501,-79.883,Toronto Pearson Intl,YYZ,121.0,3438.4,398.6,A,Niagara Falls ON,195.4,255.6,3.3405,Mont-Tremblant QC,439.6,576.32,8.7698,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4S,Richmond Hill Central,Ontario,43.8985,-79.4143,Toronto Pearson Intl,YYZ,29.8,3496.6,309.0,A,Niagara Falls ON,93.8,155.03,2.0114,Montreal QC,495.2,552.03,6.7815,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4T,Mississauga (Malton),Ontario,43.7139,-79.6434,Toronto Pearson Intl,YYZ,4.3,3484.4,298.0,A,Niagara Falls ON,82.8,128.27,1.615,Sault Ste. Marie ON,483.5,835.68,9.4391,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4V,Mississauga (Wildwood),Ontario,43.6935,-79.6069,Toronto Pearson Intl,YYZ,2.3,3487.7,295.1,A,Niagara Falls ON,79.3,124.79,1.5536,Sault Ste. Marie ON,487.2,835.97,9.435,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4W,Mississauga (Matheson / East Rathwood),Ontario,43.6413,-79.6296,Toronto Pearson Intl,YYZ,4.1,3487.5,295.2,A,Niagara Falls ON,75.5,113.88,1.4112,Sault Ste. Marie ON,489.8,829.27,9.3136,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4X,Mississauga (East Applewood / East Dixie / NE Lakeview),Ontario,43.6178,-79.5786,Toronto Pearson Intl,YYZ,7.6,3492.1,294.5,A,Niagara Falls ON,71.0,113.17,1.4323,Sault Ste. Marie ON,494.6,837.93,9.4176,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4Y,Mississauga (West Applewood / West Dixie / NW Lakeview),Ontario,43.6028,-79.5929,Toronto Pearson Intl,YYZ,8.7,3491.4,295.1,A,Niagara Falls ON,70.3,111.33,1.4034,Sault Ste. Marie ON,494.8,836.09,9.3887,1204.7,1260.4,1892.0,YVR,703.9,740.7
L4Z,Mississauga (West Rathwood / East Hurontario / SE Gateway),Ontario,43.6192,-79.6538,Toronto Pearson Intl,YYZ,6.9,3486.3,296.8,A,Niagara Falls ON,74.7,110.84,1.3849,Sault Ste. Marie ON,490.0,827.21,9.3261,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5A,Mississauga (Mississauga Valleys / East Cooksville),Ontario,43.5883,-79.6091,Toronto Pearson Intl,YYZ,10.0,3490.6,295.9,A,Niagara Falls ON,69.8,108.79,1.3564,Sault Ste. Marie ON,495.0,833.55,9.3416,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5B,Mississauga (West Cooksville / Fairview / City Centre / East Creditview),Ontario,43.5771,-79.6306,Toronto Pearson Intl,YYZ,11.2,3489.3,296.9,A,Niagara Falls ON,69.9,109.1,1.3689,Sault Ste. Marie ON,494.6,833.86,9.3542,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5C,Mississauga (West Creditview / Mavis / Erindale),Ontario,43.5624,-79.6504,Toronto Pearson Intl,YYZ,13.0,3488.2,298.0,A,Niagara Falls ON,69.7,105.37,1.3256,Sault Ste. Marie ON,494.5,830.13,9.3109,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5E,Mississauga (Central Lakeview),Ontario,43.5836,-79.561,Toronto Pearson Intl,YYZ,11.7,3494.4,294.9,A,Niagara Falls ON,67.1,111.35,1.4106,Sault Ste. Marie ON,498.2,836.11,9.3959,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5G,Mississauga (SW Lakeview / Mineola / East Port Credit),Ontario,43.5647,-79.5852,Toronto Pearson Intl,YYZ,13.0,3493.1,295.8,A,Niagara Falls ON,66.5,107.61,1.3368,Sault Ste. Marie ON,498.2,832.37,9.3221,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5H,Mississauga (West Port Credit / Lorne Park / East Sheridan),Ontario,43.5419,-79.6164,Toronto Pearson Intl,YYZ,15.1,3491.4,297.3,A,Niagara Falls ON,66.2,103.87,1.3183,Sault Ste. Marie ON,498.1,828.62,9.3036,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5J,Mississauga (Clarkson / Southdown),Ontario,43.5102,-79.6296,Toronto Pearson Intl,YYZ,18.6,3491.3,298.6,A,Niagara Falls ON,64.3,99.3,1.2408,Sault Ste. Marie ON,499.7,824.06,9.226,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5K,Mississauga (West Sheridan),Ontario,43.5272,-79.6617,Toronto Pearson Intl,YYZ,17.0,3488.3,299.4,A,Niagara Falls ON,67.4,101.01,1.2379,Sault Ste. Marie ON,496.6,825.77,9.2231,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5L,Mississauga (Erin Mills / Western Business Park),Ontario,43.5373,-79.6903,Toronto Pearson Intl,YYZ,16.5,3485.9,300.4,A,Niagara Falls ON,69.8,101.65,1.2852,Sault Ste. Marie ON,494.1,826.41,9.2705,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5M,Mississauga (Churchill Meadows / Central Erin Mills / South Streetsville),Ontario,43.5637,-79.7202,Toronto Pearson Intl,YYZ,14.8,3482.8,301.4,A,Niagara Falls ON,73.6,104.18,1.3066,Mont-Tremblant QC,493.7,630.81,7.9434,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5N,Mississauga (Lisgar / Meadowvale),Ontario,43.5924,-79.7611,Toronto Pearson Intl,YYZ,14.5,3478.9,303.4,A,Niagara Falls ON,78.2,108.31,1.3656,Mont-Tremblant QC,494.4,626.89,7.8896,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5P,Mississauga (YYZ),Ontario,43.6904,-79.6238,Toronto Pearson Intl,YYZ,1.4,3486.5,295.2,A,Niagara Falls ON,79.7,124.85,1.5755,Sault Ste. Marie ON,486.4,836.94,9.4573,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5R,Mississauga (West Hurontario / SW Gateway),Ontario,43.606,-79.6708,Toronto Pearson Intl,YYZ,8.8,3485.4,297.9,A,Niagara Falls ON,74.4,108.81,1.36,Sault Ste. Marie ON,490.0,826.08,9.3039,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5S,Mississauga (Cardiff / NE Gateway),Ontario,43.6801,-79.6783,Toronto Pearson Intl,YYZ,4.3,3482.7,298.1,A,Niagara Falls ON,81.3,120.69,1.5111,Sault Ste. Marie ON,484.0,828.82,9.3201,1204.7,1260.4,1892.0,YVR,703.9,740.7
