fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
B3M,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3N,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3P,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3R,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3S,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3T,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3V,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3Z,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4A,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4B,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4C,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4E,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4G,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4H,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4N,A,Halifax NS,Rivière-du-Loup QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4P,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4R,A,Halifax NS,Rivière-du-Loup QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B4V,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B5A,A,Halifax NS,Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B6L,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B9A,A,Halifax NS,Deer Lake NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
