Canada FSA Climate Footprint Database,,,,,,,,,,,,,,,,,,,,,,,,
"1,650 Forward Sortation Areas | Set A = YVR + SFO (Pacific) | Set B = YYZ + JFK (Atlantic)",,,,,,,,,,,,,,,,,,,,,,,,
FSA,Name / Area,Province / Territory,Lat,Lon,Nearest Major Airport,Airport IATA,Airport SL km,"Dist Set A km
(YVR+SFO)","Dist Set B km
(YYZ+JFK)",Further Set,D1 Name,D1 SL km,D1 Driving km,D1 Driving hrs,D2 Name,D2 SL km,D2 Driving km,D2 Driving hrs,CO2e CDG kg,CO2e LHR kg,CO2e NRT kg,"Set Airport 1
(IATA)",CO2e Set1 kg,CO2e Set2 kg
A1W,Manuels,Newfoundland and Labrador,47.5096,-52.9447,St. John's Intl,YYT,18.9,"5,299.9","1,965.9",A,St. John's NL,18.4,24.99,0.3893,Gros Morne NL,424.5,681.46,8.9031,745.8,811.6,"1,878.9",YVR,"1,097.5","1,241.7"
A1X,Conception Bay,Newfoundland and Labrador,47.4999,-52.9981,St. John's Intl,YYT,22.7,"5,296.6","1,961.8",A,St. John's NL,22.5,29.09,0.4093,Gros Morne NL,421.8,676.23,8.7879,745.8,811.6,"1,878.9",YVR,"1,097.5","1,241.7"
A1Y,Carbonear,Newfoundland and Labrador,47.7113,-53.2953,St. John's Intl,YYT,42.0,"5,267.3","1,944.1",A,St. John's NL,46.7,113.06,1.5809,Gros Morne NL,390.1,674.87,8.8311,745.8,811.6,"1,878.9",YVR,"1,097.5","1,241.7"
A2A,Grand Falls,Newfoundland and Labrador,48.9332,-55.6649,Deer Lake Airport,YDF,129.5,"5,056.6","1,808.0",A,Cape Breton (Cabot Trail) NS,486.2,698.65,13.8726,Îles de la Madeleine QC,491.1,1423.17,26.1924,819.4,794.2,"2,548.2",YVR,854.3,"1,182.8"
A2B,Windsor,Newfoundland and Labrador,48.9499,-55.6649,Deer Lake Airport,YDF,129.0,"5,055.9","1,808.6",A,Cape Breton (Cabot Trail) NS,487.4,697,13.844,Îles de la Madeleine QC,491.7,1421.52,26.1638,819.4,794.2,"2,548.2",YVR,854.3,"1,182.8"
A2H,Corner Brook,Newfoundland and Labrador,48.9156,-57.7970,Deer Lake Airport,YDF,44.2,"4,911.4","1,662.0",A,Cape Breton (Cabot Trail) NS,377.2,449.47,10.963,Charlottetown PE,498.5,946.61,17.0026,819.4,794.2,"2,548.2",YVR,854.3,"1,182.8"
A2N,Stephenville,Newfoundland and Labrador,48.5500,-58.5818,Deer Lake Airport,YDF,113.9,"4,870.4","1,594.8",A,Cape Breton (Cabot Trail) NS,312.0,385.38,10.046,Summerside PE,458.9,852.78,15.7249,819.4,794.2,"2,548.2",YVR,854.3,"1,182.8"
A2V,Labrador City,Newfoundland and Labrador,52.9517,-66.9328,Sept-Iles Airport,YZV,306.9,"4,189.2","1,426.7",A,Gaspé QC,489.4,1204.59,18.9465,Happy Valley-Goose Bay NL,435.8,532.11,6.7266,934.6,971.1,"1,853.4",YVR,788.1,860.2
A5A,Clarenville,Newfoundland and Labrador,48.1666,-53.9648,St. John's Intl,YYT,109.0,"5,202.6","1,905.7",A,St. John's NL,115.1,189.14,2.433,Gros Morne NL,320.8,516.95,6.6099,745.8,811.6,"1,878.9",YVR,"1,097.5","1,241.7"
A8A,Deer Lake,Newfoundland and Labrador,49.1667,-57.4316,Deer Lake Airport,YDF,5.7,"4,927.5","1,696.3",A,Cape Breton (Cabot Trail) NS,415.4,485.59,11.2223,St. John's NL,391.6,639.96,8.1679,819.4,794.2,"2,548.2",YVR,854.3,"1,182.8"
B0C,North Victoria County (Dingwall),Nova Scotia,46.6482,-60.5396,Iles-de-la-Madeleine Airport,YGR,127.5,"4,802.0","1,391.5",A,Halifax NS,324.2,440.33,6.2097,Campbellton / Restigouche NB,485.9,808.86,10.7669,853.5,969.2,"2,341.8",YVR,861.0,859.3
B0E,West Cape Breton Island (Baddeck),Nova Scotia,46.1133,-61.0251,Halifax Stanfield Intl,YHZ,237.2,"4,787.2","1,340.6",A,Halifax NS,257.2,334.96,5.0806,Campbellton / Restigouche NB,476.3,703.49,9.6378,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0H,Canso region (Havre Boucher),Nova Scotia,45.3335,-61.8333,Halifax Stanfield Intl,YHZ,140.8,"4,758.5","1,260.6",A,Halifax NS,156.7,256.63,3.6434,Corner Brook NL,497.9,630.16,13.3373,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0J,Mainland east shore (Lunenburg),Nova Scotia,44.9419,-62.6471,Halifax Stanfield Intl,YHZ,68.2,"4,714.3","1,190.4",A,Halifax NS,80.2,121.67,2.346,Campbellton / Restigouche NB,458.8,561.98,7.7512,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0K,Southern Northumberland Strait (Pictou),Nova Scotia,45.6138,-62.9506,Halifax Stanfield Intl,YHZ,92.5,"4,666.9","1,185.4",A,Halifax NS,118.0,164.92,2.3532,Edmundston NB,455.0,629.9,7.8964,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0L,Isthmus of Chignecto (River Hébert),Nova Scotia,45.6908,-64.3641,Halifax Stanfield Intl,YHZ,112.2,"4,561.5","1,085.9",A,Halifax NS,131.3,217.04,2.7867,La Malbaie / Charlevoix QC,492.3,993.83,12.5053,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0M,Cobequid Bay north shore (Springhill),Nova Scotia,45.5354,-64.0393,Halifax Stanfield Intl,YHZ,83.8,"4,590.7","1,103.9",A,Halifax NS,105.1,171.77,3.7471,Rivière-du-Loup QC,490.7,723.11,10.4609,913.9,810.8,"2,657.0",YVR,774.9,917.6
